time,seconds_elapsed,relativeAltitude,pressure
1670841451956415500,228.46241552734375,-570.691650390625,752.761962890625
1670841451996417000,228.5024169921875,-570.72314453125,752.764892578125
1670841452036416300,228.54241625976562,-571.04833984375,752.795654296875
1670841452076415500,228.58241552734376,-571.452392578125,752.833740234375
1670841452116415700,228.62241577148438,-571.9755859375,752.88330078125
1670841452156415500,228.66241552734374,-572.422119140625,752.925537109375
1670841452196415500,228.70241552734376,-573.981201171875,753.07275390625
1670841452236415500,228.74241552734375,-574.078857421875,753.08203125
1670841452276415500,228.78241552734374,-575.233642578125,753.19091796875
1670841452316415000,228.8224150390625,-577.091064453125,753.366455078125
1670841452356415200,228.86241528320312,-578.216796875,753.472900390625
1670841452396415500,228.90241552734375,-577.62744140625,753.4169921875
1670841452436415700,228.94241577148438,-577.315673828125,753.3876953125
1670841452476415700,228.98241577148437,-578.20361328125,753.4716796875
1670841452516416500,229.02241650390624,-578.496826171875,753.499267578125
1670841452556416500,229.06241650390626,-578.32763671875,753.4833984375
1670841452596416500,229.10241650390626,-578.9248046875,753.539794921875
1670841452636416500,229.14241650390625,-579.99755859375,753.64111328125
1670841452676416300,229.18241625976563,-578.76904296875,753.52490234375
1670841452716416000,229.222416015625,-578.93017578125,753.540283203125
1670841452756417000,229.2624169921875,-579.8310546875,753.62548828125
1670841452796416000,229.302416015625,-578.459716796875,753.495849609375
1670841452836416000,229.342416015625,-578.052978515625,753.457275390625
1670841452876416300,229.38241625976562,-578.73193359375,753.521484375
1670841452916416300,229.4224162597656,-577.424072265625,753.39794921875
1670841452956415700,229.4624157714844,-577.31298828125,753.387451171875
1670841452996416300,229.50241625976562,-577.67236328125,753.42138671875
1670841453036416500,229.54241650390625,-577.757080078125,753.429443359375
1670841453076416500,229.58241650390624,-578.14013671875,753.465576171875
1670841453116416000,229.622416015625,-578.8798828125,753.535400390625
1670841453156416000,229.662416015625,-578.763671875,753.5244140625
1670841453196416300,229.7024162597656,-579.25244140625,753.57080078125
1670841453236415700,229.7424157714844,-579.511474609375,753.59521484375
1670841453276415200,229.78241528320314,-578.7109375,753.51953125
1670841453316415200,229.82241528320313,-578.4228515625,753.4921875
1670841453356415700,229.86241577148436,-578.93798828125,753.541015625
1670841453396416000,229.902416015625,-578.874755859375,753.534912109375
1670841453436416500,229.94241650390626,-578.824462890625,753.5302734375
1670841453476416300,229.9824162597656,-578.631591796875,753.511962890625
1670841453516415500,230.02241552734375,-578.798095703125,753.52783203125
1670841453556416000,230.062416015625,-578.798095703125,753.52783203125
1670841453596416500,230.10241650390626,-579.033203125,753.550048828125
1670841453636416300,230.14241625976564,-580.1904296875,753.659423828125
1670841453676417000,230.1824169921875,-580.9013671875,753.7265625
1670841453716415700,230.22241577148438,-580.81396484375,753.71826171875
1670841453756416500,230.26241650390625,-581.025390625,753.73828125
1670841453796416500,230.30241650390624,-580.666015625,753.704345703125
1670841453836415700,230.34241577148438,-580.634521484375,753.701416015625
1670841453876415000,230.3824150390625,-580.84326171875,753.720947265625
1670841453916416300,230.4224162597656,-580.68994140625,753.70654296875
1670841453956415500,230.46241552734375,-580.127197265625,753.6533203125
1670841453996416500,230.50241650390626,-579.860107421875,753.628173828125
1670841454036415700,230.54241577148437,-580.00830078125,753.64208984375
1670841454076416000,230.582416015625,-580.10595703125,753.6513671875
1670841454116418000,230.62241796875,-579.09130859375,753.555419921875
1670841454156416000,230.662416015625,-579.6064453125,753.604248046875
1670841454196416300,230.7024162597656,-579.5087890625,753.594970703125
1670841454236416000,230.742416015625,-579.662109375,753.609375
1670841454276415500,230.78241552734374,-579.1865234375,753.564453125
1670841454316415200,230.82241528320313,-579.350341796875,753.579833984375
1670841454356415200,230.86241528320312,-579.923583984375,753.634033203125
1670841454396416300,230.90241625976563,-579.582763671875,753.601806640625
1670841454436415700,230.94241577148438,-579.9208984375,753.6337890625
1670841454476416500,230.98241650390625,-579.36865234375,753.581787109375
1670841454516415700,231.02241577148436,-579.6064453125,753.604248046875
1670841454556415700,231.06241577148438,-579.79150390625,753.62158203125
1670841454596416300,231.10241625976562,-581.131103515625,753.748291015625
1670841454636416300,231.14241625976564,-581.297607421875,753.763916015625
1670841454676416500,231.18241650390624,-580.592041015625,753.697265625
1670841454716416000,231.222416015625,-580.396484375,753.678955078125
1670841454756417000,231.2624169921875,-580.031982421875,753.644287109375
1670841454796416300,231.30241625976564,-579.94482421875,753.63623046875
1670841454836415700,231.34241577148438,-581.2236328125,753.757080078125
1670841454876416000,231.382416015625,-581.297607421875,753.763916015625
1670841454916415700,231.42241577148437,-580.499755859375,753.6884765625
1670841454956415500,231.46241552734375,-580.512939453125,753.68994140625
1670841454996415700,231.50241577148438,-580.65283203125,753.703125
1670841455036415500,231.54241552734376,-581.432373046875,753.77685546875
1670841455076417000,231.5824169921875,-581.913330078125,753.822265625
1670841455116416300,231.62241625976563,-582.299072265625,753.858642578125
1670841455156416500,231.66241650390626,-582.904052734375,753.915771484375
1670841455196415700,231.70241577148437,-582.409912109375,753.869140625
1670841455236416300,231.74241625976563,-582.954345703125,753.920654296875
1670841455276415200,231.78241528320314,-583.017822265625,753.926513671875
1670841455316415500,231.82241552734374,-582.497314453125,753.87744140625
1670841455356415700,231.86241577148436,-582.016357421875,753.83203125
1670841455396415700,231.90241577148439,-581.831298828125,753.814453125
1670841455436415500,231.94241552734374,-581.75732421875,753.807373046875
1670841455476415500,231.98241552734376,-581.68603515625,753.80078125
1670841455516415700,232.02241577148436,-581.709716796875,753.802978515625
1670841455556415500,232.06241552734375,-580.76123046875,753.71337890625
1670841455596415500,232.10241552734374,-581.007080078125,753.736572265625
1670841455636417000,232.1424169921875,-580.7216796875,753.70947265625
1670841455676415500,232.18241552734375,-581.2158203125,753.75634765625
1670841455716417000,232.2224169921875,-580.24853515625,753.664794921875
1670841455756416000,232.262416015625,-580.90380859375,753.726806640625
1670841455796416300,232.30241625976564,-580.90380859375,753.726806640625
1670841455836416300,232.34241625976563,-581.656982421875,753.7978515625
1670841455876417500,232.38241748046875,-581.715087890625,753.803466796875
1670841455916416300,232.4224162597656,-581.5009765625,753.783203125
1670841455956416000,232.462416015625,-583.152587890625,753.939453125
1670841455996416000,232.502416015625,-582.914794921875,753.9169921875
1670841456036416500,232.54241650390625,-583.181640625,753.942138671875
1670841456076415700,232.58241577148436,-582.935791015625,753.9189453125
1670841456116415700,232.62241577148438,-583.115478515625,753.935791015625
1670841456156416300,232.66241625976562,-582.85400390625,753.9111328125
1670841456196415700,232.70241577148437,-581.95556640625,753.826171875
1670841456236415500,232.74241552734375,-582.536865234375,753.881103515625
1670841456276415200,232.78241528320314,-583.6201171875,753.983642578125
1670841456316415700,232.82241577148437,-583.49609375,753.971923828125
1670841456356415500,232.86241552734376,-583.532958984375,753.975341796875
1670841456396415500,232.90241552734375,-584.098388671875,754.02880859375
1670841456436415200,232.94241528320313,-584.4736328125,754.064208984375
1670841456476415200,232.98241528320312,-583.818359375,754.00244140625
